id subject_name
11 Numeracy
12 Literacy
13 Pre-Science
14 "Health habits"
15 "Social habits"
16 Handwriting
21 Numeracy
22 Literacy
23 Pre-Science
24 "Health habits"
25 "Social habits"
26 Handwriting
101 Mathematics
102 "English Studies"
103 "Nigerian Languages"
104 "Basic Science"
105 "Physical and Health Education"
106 "Christian Religion Studies"
107 "Islamic Studies"
108 "Nigerian History"
109 "Social and Citizenship Studies"
110 "Cultural and Creative Arts"
201 Mathematics
202 "English Studies"
203 "Nigerian Languages"
204 "Basic Science"
205 "Physical and Health Education"
206 "Christian Religion Studies"
207 "Islamic Studies"
208 "Nigerian History"
209 "Social and Citizenship Studies"
210 "Cultural and Creative Arts"
301 Mathematics
302 "English Studies"
303 "Nigerian Languages"
304 "Basic Science"
305 "Physical and Health Education"
306 "Christian Religion Studies"
307 "Islamic Studies"
308 "Nigerian History"
309 "Social and Citizenship Studies"
310 "Cultural and Creative Arts"
401 Mathematics
402 "English Studies"
403 "Nigerian Languages"
404 "Basic Science"
405 "Physical and Health Education"
406 "Christian Religion Studies"
407 "Islamic Studies"
408 "Nigerian History"
409 "Social and Citizenship Studies"
410 "Cultural and Creative Arts"
411 "Pre-vocational Studies"
412 Computer
413 "Basic Technology"
501 Mathematics
502 "English Studies"
503 "Nigerian Languages"
504 "Basic Science"
505 "Physical and Health Education"
506 "Christian Religion Studies"
507 "Islamic Studies"
508 "Nigerian History"
509 "Social and Citizenship Studies"
510 "Cultural and Creative Arts"
511 "Pre-vocational Studies"
512 Computer
513 "Basic Technology"
514 "Digital Literacy"
601 Mathematics
602 "English Studies"
603 "Nigerian Languages"
604 "Basic Science"
605 "Physical and Health Education"
606 "Christian Religion Studies"
607 "Islamic Studies"
608 "Nigerian History"
609 "Social and Citizenship Studies"
610 "Cultural and Creative Arts"
611 "Pre-vocational Studies"
612 Computer
613 "Basic Technology"
614 "Digital Literacy"
