establishment_id,establishment_number,establishment_name,duns_number,street,city,state,zip,phone,grant_date,activities,dbas,district,circuit,size,latitude,longitude,county,fips_code
126740,G1016,M.G. Waldbaum Company,018076351,430 Railroad Avenue ,Gaylord,MN,55334,(507) 237-4600,2026-01-28,Egg Product,Michael Foods Inc.,25,2507,N / A,44.554441014563,-94.206989982262,Sibley County,27143
195,G1028,Papetti's Hygrade Egg Products Inc.,007266158,One Papetti Plaza ,Elizabeth,NJ,07206,(908) 282-7900,2019-12-05,Egg Product,,80,8020,Small,40.657986002349,-74.188851972199,Union County,34039
126734,G1105,"American Egg Products, LLC",,375 Pierce Industrial Blvd. ,Blackshear,GA,31516,(912) 449-5700,2021-09-22,Egg Product,,85,8509,Small,31.304083010789,-82.232686002847,Pierce County,13229
126639,G1126A+V1126A,Shepherds Processed Eggs,072983554,3502 West 6400 South ,Spanish Fork,UT,84660,(801) 798-2593,2022-01-28,Certification - Export; Egg Product,,15,1532,Small,40.115097006836,-111.737393965822,Utah County,49049
6164012,G1126B,Shepherds Processed Eggs / Muscle Eggs,015396242,3465 West 6400 South ,Spanish Fork,UT,84660,(801) 798-2593,2022-01-28,Egg Product,Muscle Egg,15,1532,Very Small,40.114138997213,-111.737267985818,Utah County,49049
8204,G1141,"Wabash Valley Produce, Inc.",016259947,501 S. Chestnut ,Farina,IL,62838,(618) 245-3301,2022-03-04,Egg Product,,50,5007,Small,38.829008600385,-88.777614022014,Fayette County,17051
8193,G1183+V1183,"Deb El Food Products, LLC",,2 Papetti Plaza ,Elizabeth,NJ,07206,(908) 351-0330,2021-08-03,Certification - Export; Egg Product,,80,8020,Small,40.659063998917,-74.189942960716,Union County,34039
126663,G1219,Rose Acre Farms,,2143 215th Road ,Guthrie Center,IA,50115,,2019-11-09,Egg Product,Guthrie Center Breaker Plant; Guthrie Center Dryer Plant; Guthrie Center Egg Farm,25,2518,Small,41.695456723138,-94.52027747751,Guthrie County,19077
126714,G1223,Siouxpreme Egg Products,052459609,321 2nd Ave. SW ,Sioux Center,IA,51250,(712) 722-4787,2021-09-14,Egg Product,Sonstegard Foods Company,25,2523,Small,43.074770990328,-96.178805966013,Sioux County,19167
8207,G1253,Cort Acres Breaker Plant,,4887 E. County Rd. 800 N ,Seymour,IN,47274,(812) 522-3964,2021-04-13,Egg Product,,50,5023,Small,38.991805011868,-85.94800196865,Jackson County,18071
123621,G1256+V1256,Newburgh Egg Corp,,17 Novogrodsky Road ,Woodridge,NY,12789,(845) 434-8115,2021-09-21,Certification - Export; Egg Product; Voluntary Egg Products Inspection/Processing,,60,6027,Small,41.710161195002,-74.569566144873,Sullivan County,36105
124266,G1264,National Food NW LLC,118319209,16900 51st Ave. NE ,Arlington,WA,98223,(360) 659-6251,2021-11-24,Egg Product,Pacific Egg Products,15,1530,Small,48.14885498404,-122.16272098113,Snohomish County,53061
