Company,TypeName,Inches,ScreenResolution,Cpu,Gpu,OpSys,TouchScreen,Ips,X_res,Y_res,ppi,Dedicated_Gpu,Ram_GB,Weight_kg,SSD,HHD,Storage_Type,Total_Storage_GB,Storage_Category,Price
MSI,MSI Prestige 16 AI+,16,2880 x 1800,Intel Core Ultra X7 358H,Intel Arc B390,Windows,0,0,2880,1800,212.26,1,64,1.59,1000,0,SSD Only,1000,Standard (512GB-1TB),2728.8
MSI,MSI Prestige 16 AI+,16,2880 x 1800,Intel Core Ultra 9 386H,Intel Graphics (4-Cores),Windows,0,0,2880,1800,212.26,0,64,1.59,1000,0,SSD Only,1000,Standard (512GB-1TB),2528.8
ASUS,ASUS Vivobook S16,16,1920 x 1200,AMD Ryzen AI 5 330,AMD Radeon 820M,Windows,0,0,1920,1200,141.51,1,24,1.7,4000,0,SSD Only,4000,Very High (> 2TB),2428.8
Toshiba,Dynabook X series,13.3,1920 x 1200,Intel Core i5-1350P,Intel Iris Xe Graphics G7 (80EU),Windows,1,1,1920,1200,170.24,0,16,0.93,512,0,SSD Only,512,Standard (512GB-1TB),1390.2
Lenovo,"Lenovo Legion 5a (15"", Gen 11, 15AGP11)",15.3,2560 x 1600,AMD Ryzen AI 9 465,NVIDIA GeForce RTX 5060 (Laptop),Windows,0,0,2560,1600,197.31,1,32,1.87,1000,0,SSD Only,1000,Standard (512GB-1TB),2067.8
Lenovo,Lenovo ThinkBook 16 Gen 8,16,1920 x 1200,Intel Core Ultra 9 185H,Intel Arc (8-Cores),Windows,1,1,1920,1200,141.51,1,16,1.7,512,0,SSD Only,512,Standard (512GB-1TB),1571.2
HP,HP 240 G9,14,Full HD (1080p),Intel Core i5-1335U,Intel Iris Xe Graphics G7 (80EU),Windows,1,1,1920,1080,157.35,0,8,1.48,1000,0,SSD Only,1000,Standard (512GB-1TB),1348.8
HP,HP 245 G9,14,Full HD (1080p),AMD Ryzen 3 5425U,"AMD Radeon RX Vega 6 (R4000/5000, 15W)",Windows,1,1,1920,1080,157.35,1,8,1.48,1000,0,SSD Only,1000,Standard (512GB-1TB),1548.8
HP,HP 240 G9,14,Full HD (1080p),Intel Pentium Silver N6000,Intel UHD Graphics (Jasper Lake 32 EU),Windows,1,1,1920,1080,157.35,0,8,1.48,1000,0,SSD Only,1000,Standard (512GB-1TB),1348.8
HP,HP 240 G9,14,Full HD (1080p),Intel Celeron N5100,Intel UHD Graphics (Jasper Lake 24 EU),Windows,1,1,1920,1080,157.35,0,8,1.48,1000,0,SSD Only,1000,Standard (512GB-1TB),1348.8
HP,"HP Fortis 11 G9 Q Chromebook (11.6"")",11.6,"HD (720p, 768p, 900p)",Qualcomm Snapdragon 7c,Qualcomm Adreno 618,Chrome OS,1,1,1280,720,126.6,1,8,1.28,0,64,HDD Only,64,Minimal (< 256GB),1128
HP,"HP EliteBook X Flip G2i (14"")",14,2880 x 1800,Intel Core Ultra X7 358H,Intel Arc B390,Windows,1,0,2880,1800,242.59,1,32,1.29,1000,0,SSD Only,1000,Standard (512GB-1TB),2028.8
HP,"HP EliteBook X G2i (14"")",14,1920 x 1200,Intel Core Ultra X7 358H,Intel Arc B390,Windows,1,1,1920,1200,161.73,1,32,0.99,1000,0,SSD Only,1000,Standard (512GB-1TB),2028.8
HP,HP 15,15.6,"HD (720p, 768p, 900p)",Intel Core i5-13420H,Intel UHD Graphics Xe G4 (48EU),Windows,0,0,1280,720,94.14,0,4,1.6,0,128,HDD Only,128,Minimal (< 256GB),1068
Lenovo,Lenovo Chromebook Plus 2-in-1,14,1920 x 1200,Intel Core 3 N355,"Intel UHD Graphics (Alder Lake, 32EU)",Chrome OS,1,1,1920,1200,161.73,0,8,1.49,0,128,HDD Only,128,Minimal (< 256GB),1200
Lenovo,"Lenovo LOQ Essential (15ARP11, Gen 11)",15.6,Full HD (1080p),AMD Ryzen 7 170,NVIDIA GeForce RTX 5060 (Laptop),Windows,1,1,1920,1080,141.21,1,16,2.3,512,0,SSD Only,512,Standard (512GB-1TB),1559.2
Lenovo,"Lenovo LOQ Essential (15ARP11, Gen 11)",15.6,Full HD (1080p),AMD Ryzen 5 150,NVIDIA GeForce RTX 5050 (Laptop),Windows,1,1,1920,1080,141.21,1,16,2.3,512,0,SSD Only,512,Standard (512GB-1TB),1559.2
Samsung,Samsung Galaxy Book6 (16″),16,1920 x 1200,Intel Core Ultra 7 355,Intel Graphics (4-Cores),Windows,1,1,1920,1200,141.51,0,16,1.74,1000,0,SSD Only,1000,Standard (512GB-1TB),1468.8
Samsung,"Samsung Galaxy Book6 (14"")",14,1920 x 1200,Intel Core Ultra 7 355,Intel Graphics (4-Cores),Windows,1,1,1920,1200,161.73,0,16,1.42,1000,0,SSD Only,1000,Standard (512GB-1TB),1508.8
Samsung,"Samsung Galaxy Book6 (14"")",14,1920 x 1200,Intel Core Ultra 5 325,Intel Graphics (4-Cores),Windows,1,1,1920,1200,161.73,0,16,1.42,1000,0,SSD Only,1000,Standard (512GB-1TB),1508.8
Samsung,"Samsung Galaxy Book5 Edge (15.6"")",15.6,Full HD (1080p),Qualcomm Snapdragon X (X1-26-100),Qualcomm SD X Adreno X1-45 1.7 TFLOPS,Windows,1,1,1920,1080,141.21,1,16,1.66,512,0,SSD Only,512,Standard (512GB-1TB),1459.2
ASUS,ASUS Vivobook S16,16,1920 x 1200,AMD Ryzen AI 7 445,AMD Radeon 840M,Windows,0,0,1920,1200,141.51,1,24,1.7,4000,0,SSD Only,4000,Very High (> 2TB),2428.8
ASUS,ASUS Zenbook S 14,14,2880 x 1800,Intel Core Ultra 9 386H,Intel Graphics (4-Cores),Windows,0,0,2880,1800,242.59,0,16,1.2,1000,0,SSD Only,1000,Standard (512GB-1TB),1508.8
ASUS,ASUS Vivobook Go 15 OLED,15.6,Full HD (1080p),AMD Ryzen 3 30,AMD Radeon 610M,Windows,1,1,1920,1080,141.21,1,8,1.63,256,0,SSD Only,256,Basic (256-512GB),1348
ASUS,ASUS Vivobook 14,14,1920 x 1200,Intel Core Ultra 5 325,Intel Graphics (4-Cores),Windows,1,1,1920,1200,161.73,0,16,1.46,512,0,SSD Only,512,Standard (512GB-1TB),1411.2
Acer,Acer TravelLite (TL04-51M),15.6,Full HD (1080p),Intel Core i5-1334U,Intel Iris Xe Graphics G7 (80EU),Windows,1,1,1920,1080,141.21,0,32,1.34,1000,0,SSD Only,1000,Standard (512GB-1TB),1776.8
Acer,Acer Swift Neo 14 (SFN14-54H),14,1920 x 1200,Intel Core Ultra 7 155U,Intel Graphics (4-Cores),Windows,0,0,1920,1200,161.73,0,32,1.3,1000,0,SSD Only,1000,Standard (512GB-1TB),1828.8
Dell,Dell Wyse 5470,14,Full HD (1080p),Intel Celeron N4100,Intel UHD Graphics 600,Windows,0,0,1920,1080,157.35,0,8,1.79,0,128,HDD Only,128,Minimal (< 256GB),1200
Dell,Dell Wyse 5470,14,Full HD (1080p),Intel Celeron N4000,Intel UHD Graphics 600,Windows,0,0,1920,1080,157.35,0,8,1.79,0,128,HDD Only,128,Minimal (< 256GB),1200
Lenovo,"Lenovo Yoga Pro 7i Aura Edition (15"", Gen 11)",15.3,2560 x 1600,Intel Core Ultra 9 386H,NVIDIA GeForce RTX 5060 (Laptop),Windows,0,0,2560,1600,197.31,1,64,1.59,3000,0,SSD Only,3000,Very High (> 2TB),3107.8
Lenovo,"Lenovo Yoga Slim 7i Aura Edition (14″, Gen 11)",14,1920 x 1200,Intel Core Ultra 7 355,Intel Graphics (4-Cores),Windows,0,0,1920,1200,161.73,0,32,1.14,2000,0,SSD Only,2000,High (1-2TB),2028.8
Lenovo,"Lenovo Yoga Slim 7i Aura Edition (14″, Gen 11)",14,1920 x 1200,Intel Core Ultra 5 322,Intel Graphics (4-Cores),Windows,0,0,1920,1200,161.73,0,32,1.14,2000,0,SSD Only,2000,High (1-2TB),2028.8
Lenovo,"Lenovo Legion 7a (16"", Gen 11)",16,2560 x 1600,AMD Ryzen AI 9 HX 470,NVIDIA GeForce RTX 5060 (Laptop),Windows,0,0,2560,1600,188.68,1,64,1.8,2000,0,SSD Only,2000,High (1-2TB),2928.8
Lenovo,"Lenovo IdeaPad Pro 5i (14"", Gen 11)",14,2880 x 1800,Intel Core Ultra X7 358H,Intel Arc B390,Windows,0,0,2880,1800,242.59,1,32,1.43,1000,0,SSD Only,1000,Standard (512GB-1TB),2028.8
Lenovo,Lenovo V15 Gen 6 (Intel),15.6,Full HD (1080p),Intel Processor N150,Intel UHD Graphics Xe (24EU),Windows,0,0,1920,1080,141.21,0,16,1.51,512,0,SSD Only,512,Standard (512GB-1TB),1359.2
Lenovo,"Lenovo Yoga Slim 7i Ultra Aura Edition (14"", Gen 11)",14,2880 x 1800,Intel Core Ultra X9 388H,Intel Arc B390,Windows,0,0,2880,1800,242.59,1,64,0.97,2000,0,SSD Only,2000,High (1-2TB),2868.8
Lenovo,"Lenovo Yoga Slim 7i Ultra Aura Edition (14"", Gen 11)",14,2880 x 1800,Intel Core Ultra X7 358H,Intel Arc B390,Windows,0,0,2880,1800,242.59,1,64,0.97,2000,0,SSD Only,2000,High (1-2TB),2868.8
Lenovo,"Lenovo Chromebook m (14"", Gen 11)",14,1920 x 1200,MediaTek Kompanio 540,ARM Mali-G57 MP2 (MC2),Chrome OS,1,1,1920,1200,161.73,1,8,1.36,0,128,HDD Only,128,Minimal (< 256GB),1300
Lenovo,"Lenovo Yoga 7i 2-in-1 Aura Edition (16"", Gen 11)",16,1920 x 1200,Intel Core Ultra 5 325,Intel Graphics (4-Cores),Windows,1,1,1920,1200,141.51,0,32,1.74,2000,0,SSD Only,2000,High (1-2TB),1988.8
Lenovo,"Lenovo Yoga 7i 2-in-1 Aura Edition (14"", Gen 11)",14,1920 x 1200,Intel Core Ultra 5 325,Intel Graphics (4-Cores),Windows,1,0,1920,1200,161.73,0,32,1.38,2000,0,SSD Only,2000,High (1-2TB),2028.8
Lenovo,Lenovo IdeaPad Slim 5i,14,1920 x 1200,Intel Core Ultra 5 325,Intel Graphics (4-Cores),Windows,1,1,1920,1200,161.73,0,32,1.34,2000,0,SSD Only,2000,High (1-2TB),2028.8
